date,count,uniques
2026-07-22,1,1
2026-07-23,1,1
2026-07-24,9,5
2026-07-25,3,3
2026-07-26,2,2
2026-07-27,5,4
2026-07-28,10,4
2026-07-29,1,1
2026-07-30,6,6
2026-07-31,3,3
2026-08-01,5,5
2026-08-02,3,3
2026-08-03,9,7
2026-08-04,3,3
